episode_name,date,loves,episode_number,comments_count,comment_username,comment_description,comment_likes,comment_dislikes,reply_username,reply_description,reply_likes,reply_dislikes
,,,,,wood-nymph,WHAT THE ACTUAL... THAT IS A MEDICAL CENTER...SHE WAS WITH A PATIENT...NOT OKAY,175,0,Elnie,"Also, it hurts less 🤷‍♀️",4,0
,,,,,OverthinkingFox,"I think he really does mean well, but damn he really can't take a hint.",133,1,nika,goid point!!!,3,0
,,,,,Kayla167,Thank you for your continued updates! I love this comic. Someone very close to my heart was diagnosed with HIV and this comic gives me hope and information ❤️,7,0,TESTED ( YGetIt.org),Noted. Please see updated guidance on masks in the creator's note.,2,0
,,,,,klanceklance,Oh shit-,5,0,TESTED ( YGetIt.org),Please see updated guidance on masks in the creator's note.,2,0
,,,,,No.,"I really don't think this is just boundaries, this is COMMON SENSE. He just walked into a medical building and into an office with no regards for her, but also the PATIENT. That's not only rude and obsessive, but VERY VERY VIOLATING. I truly hope he gets better than this",42,0,TESTED ( YGetIt.org),FIXED!!! Thanks for catching that.,4,0
,,,,,Scarlett Lily 🌸,Boi needs BOUNDARIES,13,0,0kojo,"No problem, thanks for the quick fix!",1,0
,,,,,RandyBoar,I love how this comic represents its characters so well. Each one so unique in personality and circumstance while all dealing with issues closely tied to one another. I also love the positive acknowledgment and reinforcement of affirmative action.,29,0,RyuuSeijuro,no its not. the author tried imo.,0,2
,,,,,✨SilverArt✨,"he's so sweet but definitely not ready for this type of relationship. He needs to respect her boundaries and give her space. He's unexperienced, yes, but he still should have the common sense of respecting her.",27,1,Larson FIG,Wouldn't it be ironic if we eradicated COVID-19 with Corona beer,4,0
,,,,,ExponentAtom,I would be so embarrassed,14,0,ShaylaCake,LOL,1,0
,,,,,ᴍᴠǫᴄ 🍰✨,First!! Uwu,6,6,AoiYeyi,very Larson,1,0
,,,,,Sabinchen,"Yaaassss, communication! First, with yourself to figure out what you really need and want. Second, with your significant other to share your thoughts and needs and fears...",1,0,•JuNsHoOk•,:0 you read my mind!,0,0
,,,,,NekoMuffin,It's always important to set boundaries early and never just assume someone else wants the same kind of relationship! 🥰,21,0,UltraVioletRay,"I think it's a first aid ""kit"" minus the k (instead of ending in k), so ""it""",1,0
,,,,,칸디,I like how he was still just wanting to do friendship things but I'm glad that this is approached respectfully,14,0,TESTED ( YGetIt.org),Why Not?,14,1
,,,,,【hi · i’m · weeb】,helth,4,0,Lily23,I so respect you for being so comfortable about it.,12,0
,,,,,Thalionallah,Ok that chapter just helped me realize why i couldn't stay in a relationship for long and why i considered it overwhelming ... boundaries !,28,0,🥔 potato of thighs,Awe thank you! Being comfortable with it and realizing your worth isn’t affected/doesn’t go down because of something like this is part of the process to reducing shame and stigma,12,0
,,,,,The Pastry Prince,I wanna get laid,4,0,Alicia Williams,y'all do not know how hard this hit home for me. It really happens.,7,0
,,,,,closet kid,Aw he is a dork lol,12,0,Sabinchen,He did a lot of wrong. But I think he realised his mistakes and that's a first step to mend them. I don't wish anyone to be left alone.,1,1
,,,,,mickiressa,"Cute. Also its so important to set boundaries in every relationship, so you don't get overwhelmed and tired.",39,0,LittleParadise,...or he could be using that as a tactic for others to pity him and stay with him. Who knows how the mind of a cheater works.,0,0
,,,,,LilyRiv,jersey owns that sunset,23,0,19danny15,I think she did,4,0
,,,,,ai(ﾉ°_o)ﾉ⌒┫ ┻ ┣,stay healthy everyone!!!!⊂(◉‿◉)つ,4,0,happycat(:,"and yes i know it's frowned upon to be proud of being straight, but my question is why? and the only answer i've ever heard to that question is that throughout history straight people have had the advantage and so what? straight people still face struggles. heterosexuality is still a sexuality. why can't i just be a cisgendered straight person and be proud of that? why must i be considered the villain in most media? why is it that everyone assumes i have it easy?",9,4
,,,,,ThePotatoRabbit🌈,"Ayeee she’s concerned for you, stop vaping",8,0,Shai Watermelon,Hey fam there’s a lot of feelings coming out here in a very public and open ended anonymous comment forum that would make a lot more sense to discuss with a therapist and members of the queer community you know personally. It a lot to unpack and puts an unfair amount of pressure on disenfranchised folks who aren’t cis *or* straight to validate your feelings.,10,1
,,,,,ruindjarie,So ... are we not gonna talk about their flexibility like damn bro how > _ <,12,0,Shai Watermelon,"I’m neither cis nor straight, but I don’t demonize a single cis or straight person just living their best life and being comfortable for who they are. Me and mine *do* however push all the way back at cis and straight people who visit physical, verbal, and digital violence on us just for trying to exist, take up space, and ask for protections that cis and straight (mostly white in the US) people have like less work discrimination and adequate health care.",10,0
,,,,,【hi · i’m · weeb】,"MIND YO BUSINESS, DAVIE!!!",5,0,Shai Watermelon,"It’s good to be proud of who you are normalize healthy conversations in the communities you occupy (in this case cis and/or straight) that affirm these identities you share. It’s just not okay to do it by lifting those alignments up by putting others down. It’s also not okay to use that pride to overshadow the outcries of marginalized groups. Not implying you do any of these things, just listing a few things people who usually shout “straight pride” do while trying to process identity politics",9,0
,,,,,LilyRiv,"awwwpreciation for boundaries, successes, and relationship types.",21,0,happycat(:,wow. i got so many good answers from a lot of people. i'm glad everyone in the comments section is so nice. i wasn't expecting that,9,1
,,,,,prunzia,Kendra 💜,9,0,TESTED ( YGetIt.org),Links to information and resources are at the end of each episode in the creator's note. You must have scrolled passed it. Here are the resources for this post. 1) Get Tested: https://www.hiv.gov/locator 2) Learn about New Prevention methods: https://bit.ly/2yHzkLG3) Get Treatment: https://bit.ly/2P8PW5q,3,0
,,,,,(^~*),and that’s on facts,3,0,happycat(:,"idk. maybe the creator assume only black people are dirty enough to get aids, maybe they assume that it's more diverse if there are no white people???? either way pretty racist",2,4
,,,,,klanceklance,This is my first first comment *queen wave*,21,2,Anrei,"same as I thought, for a country with white majority, there's a hell of a lot of black people in this with aids... what's that insinuating lol? This is harmful ""inclusitivity"" that has a polar effect to what I'm guessing is intended lmfao",2,1
,,,,,nika,"I love U guys! you are sooooo awesome at spreading truth it's almost gross 😆, and it feels lighter on the chest to read all these stories , for some reason.",29,0,Ducko!,"(2/2) it just shows how often other Christians shun/hate on people who are part of lgbtq+. They’re humans too! They deserve love and respect too! Treat them as equals. Love as Jesus loved. And again, if they don’t want to believe, they don’t have to. It’s everyone’s choice.",0,0
,,,,,(^~*),...they were violating the smoking thing 😂 (edit- it may only be twelve likes but thank you for my first top comment 😁),23,0,EAGiddings,"Must you be so rude about it? There is no need to call this toxic and disgusting, if you hate this so much don't ***g read it! And of your going to give criticism make sure is ***g constructive.",12,2
,,,,,Shai Watermelon,The non-binary rep I needed but didn’t expect thank you! 😭❤️,13,0,Anrei,"is it unreasonable to be pretty damn upset when someone is spreading bullshit misinformation that makes people look falsely bad? That in itself is toxic and disgusting. Hell, they even said ""not going to heaven"" when witnesses don't even believe in that lmao. The constructive criticism was ""at least do a basic fact check"". I'm not sugar coating it for people who clearly don't give a shit about falsely making people look awful, otherwise they'd fact check the basics",1,7
,,,,,Sakura Hashimoto,I also took my own v card 🤷🏽‍♀️,0,0,shplat,"Yo, this is kind of agressive. As someone raised around witnesses as well who fell out, shouldn't we have a better understanding of people and more empathy towards them because of that focus on love? I understand your anger. This isn't accurate. But it's okay.",16,0
,,,,,squidling🦑,Love the idea that like fat people are self hating and when they recover from that they'll be skinny :-/,1,3,anonymous,Actually you are WRONG! We do believe in heaven but hell is not a place and if you were really raised in the truth you would know that a lot of what you said is not true and it is not twisted at all Jehovah or God loves everyone even if you do a sin. And he still loves you even though you are disrespectful to Jehovah,5,1
,,,,,19danny15,Better get some coinage out of your first!,2,1,Anrei,"Yes, witnesses do believe in heaven. I said ""heaven and hell"" as in the typical Christian belief.If god loves us all, why are witnesses so desperate to save the ""worldly"" from Armageddon? Those who have good hearts and aren't witnesses should already be safe. And why does God put his most loyal followers like job through sick situations? killing his family, livelihood, health and more just to prove a point to satan? And the mindgame of Abraham almost having to kill his son, the Passover -",0,1
,,,,,sakuradeva94,I love this comic thank you for making it.,4,0,Anrei,"- angel killing innocent firstborns, the she bear killing kids just because they called Peter a ""baldie""? How can these be defended? And the simple fact that an omnipotent, ""loving"" god still doesn't intervene now, despite starvation, innocent victims of war, etc. Still, to ""prove a point."" How does god truly care about us yet treat us like test subjects and playthings?",0,1
,,,,,S!gma,I can definitely relate to this one,8,0,Shiaren,"Just because dogma says something, doesn't mean that everyone following that dogma follows it to the letter. That is why there is no one single tradition within any given religion and that is why there are people that claim to follow a certain faith while working against its teachings. Also to be fair, none of them mention hell. Maybe they means she is not getting resurrection at the end. Maybe her mum believes that people with HIV are not following gods guidance, those I believe get destroyed.",3,0
,,,,,Pok' L'ours,"that is a story noone tells, and I love it",11,0,Anrei,"Rather than dogma it's the actual core beliefs of the religion itself, Witnesses don't believe in souls and only angels live in heaven, and that God loves literally all. Which is why it's so false and misrepresenting.But it's very possible, she might have a judgy mother assuming HIV = slutty",2,0
,,,,,astral.distress👻,"Haha, I love the idea of crowdsourcing to help answer gender identity questions- whatever works! 💕💕",11,0,NekoMuffin,Maybe take a cue from the comic and take the time to reach out and educate instead of practically table-flipping in the comments? From one 'Rei to another lol.,2,0
,,,,,gay_potato_🏳️‍🌈🥔,I’m a potato 🥔,5,1,Anrei,"What ""cue""? Even if it was ""table flipping"" because of their gross ignorance spreading harmful misinformation, it was educating.",0,0
,,,,,QueenaWilliams,The 🍵 is HOT!,3,0,Silent_Wonderland,I know. God loves everyone.,7,0
,,,,,AELibra,Rich the Queen needs to spill the tea on this congressman.,16,0,Shiaren,"Well, there are people that believe that god/God does not do anything unjustly, hence if you have cancer, it may for example be some sort of punishment for some past sin you have committed.(Not in my opinion btw, just stating this based on what I've seen and heard. Not every Christian is actually Christian if one looks at their behavior).",7,1
,,,,,(^~*),😳😳,5,0,happycat(:,"well that's ridiculous. there's actually a specific story in the bible about a dude who was paralyzed and everyone thought it was because either him or his parents sinned. and Jesus was just like ""no. he didn't do anything. he just happens to be paralyzed.""",11,0
,,,,,Shanie107,"well..gas, grass, or ass.",23,0,Silent_Wonderland,"There are natural repercussions to our sins that could cause sickness (for example, sleeping around could cause you to get an STD) but God forgives people of their sins. It’s very hard to explain this through text but basically, God isn’t spiteful like what’s implied I think in the comic (by the ppl thinking she’s just a big sinner so that’s why she’s sick, which of course is false thinking). We’re all big sinners. As I’ve heard it, “the ground is level at the cross”.",2,1
,,,,,that_is_mahogany,I did not need to know any of that but now i want to know more...😳😳,29,0,Shiaren,"The way sin (and forgiveness + salvation) is understood in the dogma of the different Christian denominations, and denominations that are not quite Christian but follow Bible, varies alot and the people who follow these teachings can (because human is fallible) interpret them in different ways as well. So depending on what you follow and believe, you will be taught differently about sins and so on. Biblical god was quite spiteful in OT, in NT he was more forgiving (cuz of Jesus). It's not simple",4,0
,,,,,SummerOpal13,Who Else Will Never Get Tired Of This,40,0,Marj *\(^o^)/*,It's Jehovah's witnesses... They tend to be extreme.,11,4
,,,,,SummerOpal13,First,6,5,Anrei,"Being raised as a witness (I'm not a witness now lol fuck that) they aren't even representing it factually in this. Witnesses don't believe in heaven or hell, and encourage to NOT hate. However, disfellowshipping exists which I think is very twisted, though witnesses genuinely believe it's for the sake of the disfellowshipped person (to ""draw them back to the truth"") and others.",13,1
,,,,,🍌Banana!🍌,😂 the one kid who said “not tell people to drink bleach”,150,0,Nurse B,"Before posting about someone’s religion whatever it maybe, let’s face check everything.",6,0
,,,,,that_is_mahogany,Gen Z: powered by TikTok and trauma,114,1,TESTED ( YGetIt.org),"Much depends on the medication, but in general its most effective when taken on the prescribed schedule or within a few hours of that time.",7,0
,,,,,Echo984,100 episode of tested,60,0,choodarr,"or, even worse, from the internet. some people don't learn sed Ed or at least not good sex education in school",12,0
,,,,,mayday_meida,I think it’d be cool to bring up the sex trafficking of children that is happening right under our noses while all of the protesting and COVID awareness is going on. And what about the innocent 5 black children who were killed while all of the protesting had been taken place? I haven’t seen anyone bring them to the light and acknowledge that we are killing our own brothers and sisters,6,0,vuIturous,"sex ed at my school, which is considered the best school in the neighborhood and the ones around it (it's public not private, and I think it's the only public school around), was a week taken out of regular science class to show diagrams of the male and female reproductive systems to 40+ giggling 7th graders. i'm a girl. i know what a penis is, but i learned what a vulva and clit is from Boo, It's Sex. everything i learned about periods i learned from my mom. school teached just about nothing.",12,0
,,,,,mickiressa,Man this was super cute and funny.,1,0,0kojo,"It means she has it but cannot transmit it. It's a dormant stage which needs to be checked, but very good news.",11,0
,,,,,astral.distress👻,"I love this so much 🥺🥺 I agree with all of those children & I wish more adults could be like them... but I really like the “have everyone live in space” idea too, haha 💕",2,0,Gari Chutney,"Sorry for the late response. YES. And when it was hypothesized that HIV was transferable through blood, donor banks refused to pull their supply because there wasn't the technology to test. So knowing that their blood supply was potentially contaminated they still ran with it rather than supporting the research to develop a test.",5,0
,,,,,FireArcher88,"Who did you interview for these answers? Were they real kids? If so, I feel much better about humanity's future #nohate #wearamask",13,0,CM27,Me either actually!,4,0
,,,,,lioxgirl4020,"""Not tell people to drink bleach"" 😂 This girl knows her stuff. it is honestly suprising that some kids can actually listen to rules for safety of people better than adults.",6,0,happycat(:,i know there are christians out there that are awful people but that isn't the majority. and i think it's about as fair to portray christians like this in the media as it is to portray all muslims as terrorists or all black people as criminals. it's just not ok. imagine how you would feel if every time you saw your religion in a tv show the people were portrayed as judgemental or abusive parents or just all around awful? i'm sorry for ranting so much but it just feels pretty awful,19,6
,,,,,OverthinkingFox,"As a member of Gen Z, I can say right now the kids are alright, while also being the farthest thing from alright.",15,0,//ANUHEA//,"I agree, the media does portray us badly when our relationship with God is basically revolved around loving people and Him",20,5
,,,,,0kojo,"""Have everyone live in space"" MOOD",11,0,Cha0's,I agree :(,11,3
,,,,,19danny15,"The little girl in the bottom left hand corner had good answers, but the other one in the upper right was so adorable when she said not to drink bleach!",9,0,happycat(:,well im glad someone out there agrees with me (:,11,3
,,,,,Spaceman Connor,what good children,2,0,ElenaKiara,"I agree! We take so much crap on the media, but we just have to turn the other cheek... :(",11,5
,,,,,Jaeden_Dragon,Man them some smart ass kids. Good job parents.,12,0,Jhivarr,"Many (most) of my friends have been disowned and abused by their Christian parents for being trans or gay. Y'all both know why Christians ""take so much crap on the media"". So many Christians use Christ as a bludgeoning tool and forget that He preached primarily Love and Hospitality (and that the sins of Sodom and Gomorrah according to Jesus Himself was inhospitality).",35,3
,,,,,InsanityPeak,When the motif came up for this I thought it said ‘Your kids have been napped’- MY. HEArRt. I don’t even have kids and I need sleep. Give author love,5,0,EAGiddings,"My entire family is Christian as well, and they all act like this. They all are homophobic and most of them are racist. They are horrible people, and their the only examples I have of any religion. Christians may not all be bad, but a lot of them are.",30,3
,,,,,SkySaito,"Conversation people, conversation. This is the best way to get mentally safe and ready to go, even if it feels awkward.",89,1,happycat(:,well that's sad (and also not very christian of them) i personally don't know any homophobic christians but i do know lots of homophobic nonchristians. and since Christ calls us to love everyone that means gay people too so im sorry if christians you know have been awful (and maybe i'd go as far as to say they aren't real christians because they aren't really doing as the bible says),10,1
,,,,,Jaeden_Dragon,Welp nice convo. 🤣👍👍 be safe guys. Man how does her hair stay like that tho?! I want that hairspray 😅,62,0,Pleb/wacrayon,"You may not experience it, but many others have such as myself. which give christians a bad wrap. This is real, that is a real situation i myself, living in a home with a pastor as my father have heard of. some christians forget where they came from and that is a fact",14,2
,,,,,0kojo,"Simple, straightforward, sexy.",53,0,Shiaren,"Considering that in most countries where gay marriage was on the table of becoming a legal form of marriage, it was mostly Christians and churches that tried to undermine this (using various reasonings, many which inhumanize gays). Gay conversion therapy is mainly a Christian (in fact, mostly Evangelical so American Christian) invention, as an example. Sure there are good Christians, but also many bigoted ones who sadly do not preach love and acceptance. And these tend to be t he loudest.",15,0
,,,,,inhellwithbands,"""25seconds later"" 🤣🤣🤣",1,0,Gay Chicken,"Religion isn’t the issue. The people who abuse it and twist the messages that their pastors preach to hurt people are the problem. I’m personally not religious, but I’ve met plenty of people who were good people and also religious. I’ve also met religious people who kinda sucked. It all comes down to how religion and religious texts are used by believers. At the end of the day, it’s not evil. Some people just abuse it and use it to hurt others.",4,0
,,,,,that_is_mahogany,This was an awkward thing to read during lunch break,0,0,Monavie,Thank you Gay Chicken! I'm religious and I will openly stand up to people who use it to mistreat others like that. It completely goes against what they say that they believe. No one should ever be made to feel inferior.,0,0
,,,,,astral.distress👻,"This was wholesome & adorable but I gotta say- the whole “wire brush” line might have killed the mood for me, lol, just for a minute tho! Like “hang on, all my insides just flinched- can we go one step back?”",7,0,happycat(:,ikr. i don't understand why christians are always portrayed as so awful,24,5
,,,,,칸디,This was so wholesome.,5,0,That's pretty gay!,he who has not sin cast the first stone,13,0
,,,,,19danny15,This got me hollering for my boi finally getting rid of that V-card,3,0,Mel O Drama,"I think you guys are missing what the point was. 1st, Jesus never stoned anyone but stopped it happening to a prostitute. 2nd, he washed a leper's feet and healed him. The point of what he said was that the parents are wrongly judging her using Jesus, who saved a whore from judgement and helped heal someone who had been deemed ""unclean"", the 2 ""sins"" their daughter now faces. He's reminding them, sarcastically, that they AREN'T being good Christians, which they aren't.",8,0
,,,,,liaku,wire brush????,5,0,klanceklance,"Yeah there are some Christians like that. My only question is, doesn’t the Bible say “Love your neighbor as yourself and treat others how you would want to be treated”? If someone you know is gay, you accept them it’s as simple as that",8,0
,,,,,mickiressa,"I love this, its cute, to the point and has a lesson.",6,0,Shai Watermelon,"Yes a few years over 4 joints. It’s called the prison pipeline and it has historically disproportionately affected black and brown folk. She wasn’t kidding when she said if she’d been white and on a nicer side of town this would have been community service. I’ve lived/grown up in some of the wealthiest and impoverished school systems in my city and have seen first hand how selling weed white/wealthy is a slap on the wrist, having melanin and in poverty can literally ruin your whole future.",36,0
,,,,,(^~*),stay safe 🤙,4,0,Shai Watermelon,We actually pulled a citizens initiative in my city to decriminalize it across the city so that if you get caught under a certain amount you get no fines or jail time if that’s all you have on you.,13,0
,,,,,lowskii,*25 seconds later* ohhh we’ve all had that before😭😭,11,0,Mugly Mae,"from what i understand of marijuana, it’s not any worse than alcohol consumption. just don’t operate heavy machinery or share it with people under 21 or sell it without a license. did you succeed with the initiative?",13,0
,,,,,MariaMirabella,"Totally off topic, but - that Hamilton poster! 🤩",2,1,astral.distress👻,"Even if they were laced with something- it doesn’t matter, the system views her as another black person selling drugs... In the state where I grew up, you get a longer prison sentence for marijuana possession than you do for rape... & that’s if you make it to prison without getting killed in the process (as the events of the past summer have shown- its always been like this for black folks, it’s only just now getting the media attention). The Prison system is just modern day slavery/eugenics 😣",0,0
,,,,,0kojo,Preach.,2,1,vuIturous,"sounds to me like she didn't know she was a side thing, didn't know about the wife",18,0
,,,,,Mugly Mae,I’m curious. Who started the black lives matter movement anyway?,2,1,Lily23,So said a mouth full.,5,1
,,,,,bakufuelle,"A great reminder that even members of the LGBTQIA community may be allies to others in the community (like cis gay ppl being allies to trans/ nb/ non conforming ppl). Intersectionality, y’all. Oh and BLACK TRANS LIVES MATTER ✊🏽✊🏾✊🏿",19,2,happycat(:,my paternal grandma has alzheimers and im really glad we live in a day and age when that can be recognized and dealt with (not cured yet though),10,0
,,,,,ai(ﾉ°_o)ﾉ⌒┫ ┻ ┣,I'm really loving this comic.it makes me rethink things that's I thought where right but maybe they weren't and I want to become a better ally ❤️,5,1,Katherynn Hamilton,I didn’t mean to downvote! You are absolutely right!,9,0
,,,,,astral.distress👻,"YES, preach it!! & to everyone reading- PLEASE PAY ATTENTION TO THESE TIPS!! Write them down if you need to, do whatever you need to make sure you remember them every single day. I broke up with a dude in my early 20s because he wouldn’t stop claiming he didn’t have white privilege because he grew up poor… He was one of those “I don’t see color” people, who would say that other kids picked on him in high school for being white... Maybe they picked on you because you were a nerd, Kevin ¯\_(ツ)_/¯",19,3,vuIturous,"Katherynn Hamilton, if you press the downvote button again it takes the downvote away and you can upvote",8,0
,,,,,(^~*),speaking facts 😌,4,0,Shiaren,"You could both get tested, and if he is clean, and you are in a in a committed, non-open/poly relationship, it is actually safe to leave the condom out.",8,0
,,,,,No.,"Another thing, especially towards minority peeps: DON'T COMPARE THE STRUGGLE. Istg if I hear one more woman compare her experiance of being hit on as a woman to that of being bisexual and being excluded from both circles, or someone who is LGBTQ+ compare being called a slur to being African American, or worse, someone from any minority erasing my experience as one minority without acknowledging that ALL of my oppressions(including being Bi, African American, and a woman) are tightly (pt 1)",49,0,Pursuing Peonies,same is also true of a poly relationship as long as it's closed and everyone has been tested and is aware of the possibility of pregnancy (if there is one),2,0
,,,,,Athens.Gameboy,This honestly is irl tips for everybody and it is so relatable! 😂,29,0,happycat(:,agreed,5,0
,,,,,Monavie,"I'm glad that she's confident and helping, but should she be drawing the blood? As long as she doesn't get cut too, it's fine. HIV can be transmitted by blood so as long as she doesn't get cut and mix her blood with his, they're good. Stay focused, love! 🙈",0,0,Tori.lm,preach,15,0
,,,,,0kojo,Kiesha is confidence made flesh.,9,0,frowsy,100%,11,0
,,,,,(^~*),ms kiesha? ms. kiesha? oh mah fuckin gah she fuckin dead (sorry i felt like i had to),2,1,happycat(:,yes. definitely. absolutely.,7,0
,,,,,【hi · i’m · weeb】,It would take a truckload of confidence to get me to yell “free condoms”,27,0,CM27,"This comic is showing how everyday people might act in a particular situation, it's not promoting anything as ""good"" its telling a story.",8,0
,,,,,prunzia,I love Kiesha's confidence,25,0,sampaquebot,STDs=bad stuff. People with STDs≠≠≠bad ppl. The comic questions prejudice and jugement lived by *people*,4,0
,,,,,Athens.Gameboy,Yo il this webtoon so much. Like I want to read it over and over. Lol I love it! Edit: Bro thank's for top comment my dude's!,16,0,Mugly Mae,"because it’s informative, inspirational, and very educational?",0,0
,,,,,No.,Thanks for the info!,7,0,Cheapthrill_Xo,The characters name I am SOOO PROUD OF THEM WE ALL ARE AND CANT THANK THE AUTHORS ENOUGH FOR THIS STORY AND EDUCATION💖👏🏽,2,0
,,,,,SkySaito,"Yeah, this kind of talk should be way less taboo imo, people are either scared or awkward when they talk about STDs and whatnot. Very neato here",54,0,ThePotatoRabbit🌈,GO YOU,2,0
,,,,,that_is_mahogany,"Is the notification what WEBTOON is saying or is it the title of the episode (I’m joking btw, I know it’s the title)",12,0,McKenzie Dudley,"I do think there should be more inclusion in sex ed & biology classes for old kids & teens. Include trans issues in biology & sex ed, & talk about sexual orientation & gender expression in sex ed. That being said, this comic made a good example of allowing a child to ask questions & answering in a calm, simple, understanding method. I just wish more people would go about this type of curiosity in this fashion. Also, I do apologize if this is taken the wrong way, just how I'm raising my son.",33,1
,,,,,Violetslovely~,I love your comic and honestly this one hit me close. my grandmother was a strong woman and she was in an old folks home. three people tested positive and kept working. It's been two months. hope everyone tries to keep safe.,159,0,🐸froggy.boi🐸,ok karen,4,3
,,,,,ElenaEllie,Noooo! Not abuela!,57,0,sampaquebot,"I misread the ""answering questions as they come"" at first, i feel like lotsa people did the same",3,0
,,,,,Mochi be good,So many people need to see this,50,0,truly vincent,"so telling kids as young as 0-8 that they're straight won't confuse them? kids aren't stupid. if you explain it to them kindly and comfortably, they will understand.",11,1
,,,,,Monavie,"Thank you for posting this! As a Mom, it's been hard being a teacher, Mother, provider, etc. Parents can't work because of the schooling schedule and most places aren't open to watch kids. The kids can't go anywhere or see friends. It's been over a year and I don't know how much longer we can take it. We're banding together, though ❤",1,0,NekoMuffin,"As a parent I think you're absolutely dead wrong. And treating your child like they're too dumb to understand things is the main reason kids end up having a harder time understanding things. If you take the time to talk through things with them early and often -- y'know, like a parent should -- they pick it up easy. Don't give bullshit excuses for being too afraid to discuss reality with your children and gods forbid maybe learning something yourself.",11,1
,,,,,Sabinchen,My condolences to all the people affected. I hope that people responsible for the mismanagement of this pandemics will pay for that,0,0,inhellwithbands,"if you are incapable to teach your child there's YOU are the one with a problem. Life has shown us so many times that your argument is shit and kids are super supportive and understand super easily. it's always the adult that teach them there's a problem. Also, they literally teach gender identity on kindergarten so if they are not too young for cisgender heteronormative rules, they aren't too young for LGTBQ+ neither.",6,1
,,,,,that_is_mahogany,"If you aren’t wearing a mask so you can breathe you are taking away the right to breathe from those around you. If you aren’t washing your hands for long enough because your skin is dry, cracked and bleeding you are infecting all you touch. If you are leaving your house, waving your rifle, and storming capital buildings YOU ARE THE REASON WE ARE STILL GOING DOWN.",9,0,Alioki,THANK YOU,12,0
,,,,,NekoMuffin,"Tempted to print this out and post it in the break room at work honestly. People keep not taking it seriously... I think for many people who haven't personally known anyone affected by it, it doesn't seem real, it's just an inconvenience for them.",2,0,vuIturous,feed them seeds or oats or peas or corn!!!! not bread!!!!,9,0
,,,,,JudithAV,"This just hurts me so much,I’ve recently lost my aunt due to this virus,please take care of yourselves and your families",3,0,sampaquebot,good to know!!,2,0
,,,,,its.lin,"As someone who’s lost somebody close due to COVID, I really appreciate that you’re making this. I feel like people need to be reminded to take the precautions necessary to stop the spread",5,0,Kalondra Johnson,Right 🙄,0,0
,,,,,Birdycan'tdraw🏳️‍🌈,Please stay safe you guys! I hope you all have an amazing day ❤️,0,0,TESTED ( YGetIt.org),Thanks and help us spread the word!!,5,0
,,,,,zombiloli,I'm crying.,0,0,Pursuing Peonies,condoms and dental dams and other sti preventing devices.,3,0
,,,,,Decatigramme,"I'm french and we're not quarantined anymore but new cases are starting cause of non vigilant people. If you want to be over quickly follow the rules, it's not against you it's for everyone. Stay safe",10,0,banana bumpkins,yeah I saw it too. the teacher looks mad,5,0
,,,,,Shai Watermelon,"Not the comic anyone wants, but the comic we all desperately need. 😢💗Please keep liking these comics and bumping the rating to get the word out y’all!!!",8,0,NekoMuffin,Or just ask Siri 😂,0,0
,,,,,MariaMirabella,This is so true. Just because it’s boring doesn’t mean that everything is over. It really is important that we still stay alert - no matter how exhausting it may be. ❤️,12,0,astral.distress👻,"He’s smoked the whole time, he didn’t just pick up smoking to deal with a drug addiction... I know that you’re a kid, & that this might seem like something that can be compared- but there is so much more to it than “addictive things are bad & they kill you”. I’m glad you’re reading this story- it shows that you’re getting started on learning! Just keep learning & educating yourself, maybe don’t make judgmental comments tho if you don’t understand it yet. You’ve still got time 💕",1,1
,,,,,Echo984,not abuela,3,0,inhellwithbands,"🤣🤣🤣🤣🤣🤣🤣🤣🤣 lmfao I am not a kid and yes smoking isn't better please talk to a doctor, bye",0,0
,,,,,Violetslovely~,I love your comic and honestly this one hit me close. my grandmother was a strong woman and she was in an old folks home. three people tested positive and kept working. It's been two months. hope everyone tries to keep safe.,159,0,0kojo,She OD'd two chapters ago man,7,0
,,,,,OcarinaOfThyme,Damn I wanna be just half as smooth as her 😅,6,0,Matsuyama Kitty,"My deepest condolences, it must be so difficult to go through. I wish you happiness and health from here on out. 💗",1,0
,,,,,Gravitucron,"I am glad that Kiesha is contributing her efforts to counteract the spread of venereal diseases; still, I am very sour on how she is advertising her assets like she is. I am not a sexually frustrated prude by any stretch of the imagination; still, I do believe that it would have done Kiesha a world of good for her family government to have gone through her wardrobe as an adolescent and insisted upon modest clothing that leaves more to the imagination. Okay, I will be going now . . .",3,16,oof321,it's because people are uninformed about it. it isn't completely her fault.,3,1
,,,,,0kojo,STORY IS RESTARTING EVERYONE STAY CALM,5,0,Gretchenn,it is her fault. she made the choice to not treat her addiction. I mean 🤷🤦,2,2
,,,,,SummerOpal13,"You Should Love Someone For Personality, So I Hope He Can Like Her",5,0,lolagamesminecraftetautres,"my aunt got terrible back pains and the only thing strong enough is fentanyl, she always got.a.little patch on her arm",2,0
,,,,,i am uniqwa,"*i think,you know,wer dis about to go* these vibes are too strong for me lol",13,0,oof321,it's not completely her fault.,2,0
,,,,,PBJam,Your name tag 🤦🏿‍♀️😂,9,0,oof321,"""found peace""? yes she was struggling but real peace would have been for her to get the support and help she needed as well as being informed about it.",2,0
,,,,,gemini.wench,ooooh this is gonna be interesting! i hope Dewan is a kind and understanding guy and loves Kiesha for who she is,38,0,oof321,it is not always the person's fault and most of the time it isn't. I suggest you read and research about opioid dependency and addiction.,13,0
